,Unnamed: 0,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Var_1,Segmentation
1503,1503,Male,Yes,32,No,Doctor,9.0,Low,2.0,Cat_2,C
1510,1510,Female,No,46,Yes,Doctor,6.0,Low,,Cat_6,C
1515,1515,Female,,49,No,Healthcare,2.0,Average,2.0,Cat_3,D
1516,1516,Female,No,42,Yes,Doctor,2.0,Low,3.0,Cat_6,C
1519,1519,Male,Yes,73,Yes,Lawyer,2.0,Low,1.0,Cat_6,D
1523,1523,Male,Yes,43,No,Executive,8.0,Low,3.0,Cat_6,A
1524,1524,Male,Yes,37,Yes,Entertainment,8.0,Average,2.0,Cat_2,D
1529,1529,Male,Yes,48,Yes,Artist,3.0,Low,5.0,Cat_6,B
1538,1538,Male,Yes,31,No,Engineer,5.0,Average,3.0,Cat_3,A
1542,1542,Male,Yes,36,Yes,Artist,8.0,Average,2.0,Cat_6,B
1549,1549,Male,No,42,Yes,Engineer,8.0,Low,1.0,Cat_6,B
1553,1553,Female,Yes,47,Yes,Artist,7.0,Average,2.0,Cat_6,C
1555,1555,Female,Yes,63,No,Engineer,8.0,Low,1.0,Cat_6,B
1556,1556,Female,Yes,60,Yes,Artist,3.0,Low,3.0,Cat_4,C
1557,1557,Male,Yes,37,Yes,Doctor,8.0,Average,2.0,Cat_6,A
1560,1560,Male,Yes,45,Yes,Artist,7.0,Average,5.0,Cat_6,B
1561,1561,Female,Yes,48,Yes,Artist,4.0,Average,2.0,Cat_6,C
1563,1563,Female,No,49,No,Engineer,12.0,Low,1.0,Cat_4,C
1567,1567,Male,,32,Yes,Healthcare,8.0,High,5.0,Cat_7,D
1568,1568,Female,No,32,Yes,Marketing,8.0,Low,1.0,Cat_6,D
1571,1571,Female,Yes,37,No,Engineer,3.0,High,2.0,Cat_6,D
1573,1573,Female,Yes,43,Yes,Artist,5.0,High,3.0,Cat_6,B
1577,1577,Male,Yes,49,Yes,Artist,6.0,Average,2.0,Cat_6,C
1587,1587,Male,Yes,83,No,Lawyer,8.0,High,2.0,Cat_6,B
1589,1589,Male,No,32,Yes,Doctor,9.0,Low,1.0,Cat_6,A
1592,1592,Female,No,39,Yes,Doctor,6.0,Low,1.0,Cat_2,C
1595,1595,Female,No,31,Yes,Healthcare,8.0,Low,5.0,Cat_6,D
1597,1597,Female,Yes,38,Yes,Artist,4.0,Low,1.0,Cat_6,B
1600,1600,Female,No,37,No,Marketing,8.0,Low,3.0,Cat_3,A
1605,1605,Male,Yes,32,Yes,Doctor,11.0,Average,2.0,Cat_6,A
1607,1607,Female,Yes,49,No,Engineer,6.0,Low,2.0,Cat_6,A
1613,1613,Male,Yes,37,Yes,Artist,2.0,Average,2.0,Cat_6,C
1614,1614,Male,Yes,42,No,Doctor,5.0,Average,5.0,Cat_6,B
1627,1627,Female,Yes,50,Yes,Artist,4.0,Low,2.0,Cat_6,D
1634,1634,Female,No,36,Yes,Artist,5.0,Low,2.0,Cat_6,B
1635,1635,Female,Yes,47,No,Engineer,9.0,Average,4.0,Cat_4,B
1636,1636,Female,No,36,Yes,Engineer,9.0,Low,1.0,Cat_4,A
1637,1637,Female,Yes,33,No,Engineer,7.0,Average,5.0,Cat_4,B
1644,1644,Male,Yes,37,No,Entertainment,11.0,Average,2.0,Cat_6,B
1649,1649,Male,No,35,Yes,Doctor,5.0,Low,1.0,Cat_6,A
1652,1652,Male,Yes,66,No,Executive,6.0,Low,3.0,Cat_4,B
1656,1656,Female,Yes,46,Yes,Artist,2.0,Low,1.0,Cat_6,B
1659,1659,Female,No,37,Yes,Artist,8.0,Low,,Cat_6,B
1660,1660,Female,No,32,No,Doctor,8.0,Low,6.0,Cat_6,C
1662,1662,Female,,39,Yes,Doctor,5.0,Low,,Cat_2,B
1667,1667,Female,No,42,Yes,Doctor,5.0,Low,1.0,Cat_6,B
1673,1673,Male,No,35,Yes,Artist,9.0,Low,3.0,Cat_6,A
1682,1682,Female,Yes,48,No,Artist,8.0,Average,3.0,Cat_6,A
1684,1684,Male,No,33,Yes,Artist,3.0,Low,5.0,Cat_6,A
1686,1686,Male,Yes,47,Yes,Entertainment,2.0,Average,3.0,Cat_6,C
1689,1689,Male,Yes,67,No,Entertainment,5.0,Average,4.0,Cat_4,A
1690,1690,Female,Yes,45,Yes,Artist,3.0,Average,2.0,Cat_6,A
1702,1702,Male,Yes,40,No,Executive,7.0,Low,4.0,Cat_6,A
1706,1706,Male,Yes,70,No,Lawyer,2.0,High,2.0,Cat_6,B
1711,1711,Female,Yes,52,Yes,Artist,2.0,Average,4.0,Cat_6,C
1718,1718,Female,Yes,38,No,Entertainment,3.0,Average,3.0,Cat_6,B
1723,1723,Female,Yes,46,Yes,Artist,9.0,Low,2.0,Cat_6,A
1730,1730,Female,Yes,50,Yes,Artist,9.0,Average,4.0,Cat_6,A
1738,1738,Female,No,36,Yes,Artist,9.0,Low,1.0,Cat_6,D
1745,1745,Female,Yes,60,Yes,Artist,8.0,High,6.0,Cat_6,C
1748,1748,Female,Yes,49,Yes,Engineer,4.0,Average,,Cat_3,C
1753,1753,Male,Yes,46,Yes,Homemaker,6.0,Average,3.0,Cat_3,C
1759,1759,Male,Yes,46,Yes,Doctor,7.0,Average,2.0,Cat_6,C
1762,1762,Female,No,61,Yes,Artist,11.0,Low,1.0,Cat_6,C
1764,1764,Male,Yes,53,Yes,Entertainment,8.0,Average,4.0,Cat_6,C
1767,1767,Male,Yes,37,Yes,Entertainment,8.0,Average,2.0,Cat_6,B
1771,1771,Male,Yes,42,No,Artist,6.0,Low,2.0,Cat_6,B
1772,1772,Female,No,31,No,Homemaker,8.0,Low,1.0,Cat_6,D
1777,1777,Male,Yes,43,No,Entertainment,9.0,Low,2.0,Cat_4,B
1782,1782,Female,Yes,45,Yes,Engineer,3.0,Average,,Cat_3,B
1784,1784,Female,No,42,No,Homemaker,11.0,Low,,Cat_6,A
1788,1788,Male,Yes,84,Yes,Lawyer,5.0,Low,1.0,Cat_6,D
1789,1789,Female,Yes,38,,Engineer,5.0,Low,2.0,Cat_2,B
1806,1806,Male,Yes,41,Yes,Artist,11.0,High,2.0,Cat_6,A
1807,1807,Male,No,31,Yes,Healthcare,9.0,Low,3.0,Cat_7,D
1808,1808,Female,Yes,39,Yes,Homemaker,8.0,High,2.0,Cat_6,D
1810,1810,Female,No,31,Yes,Artist,14.0,Low,1.0,Cat_6,D
1811,1811,Female,Yes,63,Yes,,4.0,Average,3.0,Cat_6,A
1817,1817,Female,Yes,43,Yes,Artist,4.0,High,3.0,Cat_6,C
1819,1819,Male,Yes,37,No,Engineer,8.0,Average,3.0,Cat_4,D
1822,1822,Female,Yes,43,No,Artist,4.0,Low,1.0,Cat_6,B
1831,1831,Female,No,31,Yes,Artist,2.0,Low,,Cat_6,A
1832,1832,Female,No,38,Yes,Doctor,5.0,Low,5.0,Cat_2,A
1835,1835,Female,Yes,33,No,Engineer,5.0,High,3.0,Cat_6,D
1838,1838,Male,No,43,Yes,Entertainment,5.0,Low,1.0,Cat_3,D
1842,1842,Female,Yes,35,Yes,Homemaker,7.0,Average,4.0,,B
1843,1843,Female,No,35,Yes,Artist,3.0,Low,1.0,Cat_4,A
1849,1849,Male,Yes,40,Yes,Engineer,7.0,Low,2.0,Cat_3,B
1866,1866,Male,No,38,Yes,Artist,6.0,Low,4.0,Cat_2,A
1869,1869,Female,No,51,Yes,Artist,8.0,Low,1.0,Cat_6,C
1872,1872,Female,No,36,Yes,Artist,11.0,Low,,Cat_6,A
1875,1875,Male,Yes,35,Yes,Artist,8.0,Average,2.0,Cat_6,C
1877,1877,Male,Yes,47,Yes,Artist,13.0,Low,1.0,Cat_6,C
1880,1880,Male,Yes,38,Yes,Entertainment,2.0,Average,2.0,Cat_6,B
1889,1889,Female,Yes,35,Yes,Entertainment,9.0,Average,2.0,Cat_2,A
1891,1891,Female,No,35,Yes,Artist,8.0,Low,3.0,Cat_2,A
1896,1896,Male,Yes,58,Yes,Artist,2.0,Low,1.0,Cat_6,A
1899,1899,Male,Yes,35,No,Doctor,5.0,Low,4.0,Cat_4,A
1903,1903,Male,Yes,38,Yes,Entertainment,9.0,Average,2.0,Cat_3,C
1904,1904,Female,Yes,36,No,Engineer,4.0,High,3.0,Cat_7,A
1905,1905,Female,Yes,40,Yes,Artist,12.0,Average,,Cat_6,C
1908,1908,Male,Yes,43,Yes,Artist,9.0,Average,3.0,Cat_6,A
1910,1910,Female,Yes,46,No,Entertainment,4.0,Average,,Cat_4,A
1914,1914,Female,Yes,37,Yes,Doctor,9.0,Average,2.0,Cat_6,C
1915,1915,Male,No,62,No,Healthcare,8.0,Low,1.0,Cat_3,C
1918,1918,Male,Yes,61,Yes,Entertainment,2.0,Average,4.0,Cat_6,C
1921,1921,Female,No,37,Yes,Entertainment,6.0,Low,,Cat_6,A
1931,1931,Male,No,32,No,Healthcare,7.0,Low,5.0,Cat_6,D
1935,1935,Male,Yes,51,Yes,Executive,4.0,High,3.0,Cat_6,C
1941,1941,Female,Yes,48,Yes,Artist,9.0,High,4.0,Cat_3,C
1944,1944,Female,No,51,Yes,Engineer,3.0,Low,1.0,Cat_6,B
1945,1945,Female,No,43,No,Marketing,10.0,Low,,Cat_3,D
1946,1946,Female,Yes,41,Yes,Artist,9.0,Low,1.0,Cat_6,C
1955,1955,Male,Yes,53,Yes,Artist,6.0,Average,2.0,Cat_6,C
1972,1972,Female,No,37,No,Homemaker,9.0,Low,1.0,Cat_6,D
1975,1975,Female,No,37,Yes,Artist,7.0,Low,4.0,Cat_4,A
1976,1976,Female,No,38,Yes,Artist,7.0,Low,1.0,Cat_6,B
1984,1984,Male,Yes,32,Yes,Artist,5.0,Average,2.0,Cat_3,A
1986,1986,Female,Yes,31,No,Engineer,8.0,Low,4.0,Cat_6,C
1987,1987,Female,Yes,55,No,Engineer,3.0,Average,2.0,Cat_6,B
1988,1988,Male,Yes,41,No,Entertainment,2.0,Average,5.0,Cat_6,A
1995,1995,Female,No,36,Yes,Artist,9.0,Low,2.0,Cat_6,C
1996,1996,Male,Yes,41,Yes,Artist,12.0,Average,2.0,Cat_6,B
2014,2014,Male,No,36,Yes,Artist,13.0,Low,1.0,Cat_6,B
2017,2017,Female,Yes,55,Yes,Artist,4.0,Average,4.0,Cat_7,C
2026,2026,Male,Yes,39,No,Executive,12.0,High,7.0,Cat_6,B
2032,2032,Female,Yes,38,Yes,Marketing,9.0,Low,3.0,Cat_6,D
2036,2036,Female,No,49,Yes,Artist,3.0,Low,1.0,Cat_6,C
2039,2039,Female,No,32,Yes,Entertainment,7.0,Low,1.0,Cat_6,D
2040,2040,Female,No,41,Yes,Artist,8.0,Low,3.0,Cat_6,A
2044,2044,Female,No,32,Yes,Artist,9.0,Low,1.0,Cat_6,D
2045,2045,Female,Yes,37,Yes,Artist,4.0,Low,1.0,Cat_3,A
2048,2048,Male,Yes,39,Yes,Artist,13.0,Low,2.0,Cat_6,B
2052,2052,Female,No,35,Yes,Artist,8.0,Low,1.0,Cat_6,B
2053,2053,Male,Yes,58,Yes,Executive,3.0,Average,4.0,Cat_3,B
2054,2054,Female,Yes,45,Yes,Engineer,2.0,Low,1.0,Cat_4,A
2055,2055,Female,Yes,35,No,Healthcare,2.0,Low,1.0,Cat_6,A
2056,2056,Female,No,43,Yes,Entertainment,8.0,Low,,Cat_3,A
2058,2058,Female,Yes,40,Yes,Engineer,3.0,Low,2.0,Cat_4,D
2059,2059,Male,Yes,55,Yes,Executive,8.0,High,2.0,Cat_6,C
2061,2061,Male,Yes,39,Yes,Executive,4.0,High,3.0,Cat_6,B
2066,2066,Female,Yes,48,Yes,Artist,3.0,High,3.0,Cat_4,B
2072,2072,Male,No,49,Yes,Doctor,5.0,Low,1.0,Cat_6,D
2074,2074,Male,Yes,32,Yes,Entertainment,6.0,Low,2.0,Cat_2,B
2075,2075,Female,No,43,Yes,Artist,8.0,Low,2.0,Cat_6,B
2078,2078,Male,No,35,,Artist,6.0,Low,5.0,Cat_2,B
2083,2083,Female,Yes,47,Yes,Artist,5.0,Average,4.0,Cat_6,C
2086,2086,Male,Yes,38,Yes,Engineer,11.0,Average,3.0,Cat_6,A
2107,2107,Female,No,41,Yes,Artist,10.0,Low,1.0,Cat_6,B
2109,2109,Male,Yes,41,Yes,Executive,5.0,Low,2.0,Cat_1,A
2111,2111,Male,Yes,39,Yes,Healthcare,11.0,Average,2.0,Cat_6,B
2120,2120,Female,No,42,Yes,Artist,8.0,Low,1.0,Cat_6,B
2123,2123,Female,Yes,38,Yes,Artist,6.0,Low,4.0,Cat_6,C
2125,2125,Male,Yes,50,Yes,Executive,4.0,High,3.0,Cat_6,C
2129,2129,Male,No,39,,Entertainment,8.0,Low,4.0,Cat_3,C
2133,2133,Female,Yes,39,Yes,Healthcare,9.0,High,3.0,Cat_6,A
2139,2139,Male,No,42,Yes,Artist,4.0,Low,2.0,Cat_2,A
2149,2149,Male,Yes,38,Yes,Doctor,3.0,Average,2.0,Cat_6,C
2152,2152,Male,No,48,Yes,Artist,4.0,Low,1.0,Cat_6,C
2153,2153,Female,No,52,Yes,Artist,9.0,Low,1.0,Cat_6,C
2155,2155,Female,No,31,Yes,Engineer,8.0,Low,1.0,Cat_6,A
2156,2156,Female,No,35,Yes,Healthcare,9.0,Low,2.0,Cat_2,D
2167,2167,Male,Yes,43,No,Entertainment,11.0,Average,2.0,Cat_6,B
2168,2168,Female,Yes,51,Yes,Homemaker,9.0,Low,,Cat_3,B
2184,2184,Female,Yes,39,Yes,Artist,5.0,Average,2.0,Cat_6,C
2190,2190,Female,No,45,Yes,Healthcare,4.0,Low,1.0,Cat_6,A
2192,2192,Male,Yes,43,Yes,Healthcare,5.0,Average,2.0,Cat_6,D
2194,2194,Female,Yes,42,Yes,Artist,8.0,Low,1.0,Cat_6,A
2196,2196,Male,No,37,Yes,Artist,11.0,Low,1.0,Cat_6,A
2201,2201,Female,No,41,Yes,Artist,2.0,Low,1.0,Cat_6,B
2204,2204,Male,Yes,37,Yes,Artist,9.0,Average,2.0,Cat_6,C
2209,2209,Male,No,35,Yes,Artist,2.0,Low,2.0,Cat_6,A
2214,2214,Male,Yes,40,Yes,Entertainment,7.0,Low,2.0,Cat_6,B
2216,2216,Male,Yes,36,Yes,Artist,9.0,Average,4.0,Cat_7,A
2221,2221,Female,Yes,41,Yes,Artist,7.0,Low,2.0,Cat_6,A
2222,2222,Male,Yes,33,No,Healthcare,11.0,High,2.0,Cat_6,D
2224,2224,Male,Yes,40,Yes,Entertainment,8.0,Low,2.0,Cat_6,D
2228,2228,Male,Yes,53,Yes,Artist,3.0,Average,4.0,Cat_6,C
2232,2232,Male,Yes,52,Yes,Artist,8.0,Low,3.0,Cat_6,C
2246,2246,Male,Yes,62,Yes,Executive,8.0,High,2.0,Cat_6,C
2249,2249,Female,Yes,40,Yes,Artist,9.0,Average,5.0,Cat_6,B
2252,2252,Male,Yes,49,Yes,Artist,9.0,Low,1.0,Cat_3,B
2253,2253,Female,No,35,No,Artist,5.0,Low,1.0,Cat_6,A
2260,2260,Female,Yes,35,No,Engineer,2.0,Average,5.0,Cat_4,D
2266,2266,Male,No,38,Yes,Artist,9.0,Low,3.0,Cat_6,A
2269,2269,Male,Yes,39,Yes,Healthcare,11.0,Average,2.0,Cat_2,D
2271,2271,Female,Yes,37,Yes,Entertainment,6.0,Average,3.0,Cat_4,A
2276,2276,Male,Yes,35,Yes,Artist,2.0,Low,3.0,Cat_2,B
2279,2279,Female,No,32,No,Healthcare,2.0,Low,5.0,Cat_1,C
2280,2280,Male,Yes,51,No,Executive,2.0,High,5.0,Cat_6,A
2281,2281,Female,No,35,Yes,Artist,10.0,Low,1.0,Cat_6,A
2289,2289,Male,Yes,53,No,Entertainment,10.0,Average,3.0,Cat_6,A
2291,2291,Male,Yes,41,Yes,Entertainment,8.0,Average,2.0,Cat_6,B
2298,2298,Female,Yes,32,Yes,Homemaker,4.0,High,2.0,Cat_3,B
2306,2306,Female,Yes,42,Yes,Doctor,8.0,Low,1.0,Cat_6,A
2309,2309,Male,Yes,39,Yes,Artist,9.0,Low,1.0,Cat_4,A
2315,2315,Male,No,43,Yes,Artist,7.0,Low,3.0,Cat_6,A
2328,2328,Male,Yes,31,Yes,Marketing,13.0,High,4.0,Cat_4,D
2331,2331,Female,Yes,61,Yes,Engineer,2.0,Average,4.0,Cat_2,A
2335,2335,Female,Yes,33,Yes,Artist,8.0,Average,3.0,Cat_6,A
2336,2336,Male,,42,Yes,Artist,3.0,Average,2.0,Cat_6,A
2338,2338,Male,Yes,42,Yes,Artist,8.0,High,4.0,Cat_6,C
2347,2347,Female,No,41,Yes,Entertainment,5.0,Low,2.0,Cat_6,D
2348,2348,Female,Yes,35,Yes,Artist,7.0,High,4.0,Cat_7,B
2354,2354,Female,No,38,Yes,Artist,8.0,Low,2.0,Cat_3,B
2355,2355,Female,No,37,Yes,Artist,5.0,Low,2.0,Cat_6,B
2371,2371,Female,No,39,No,Engineer,4.0,Low,,Cat_3,B
2374,2374,Male,Yes,36,Yes,Entertainment,9.0,High,3.0,Cat_6,B
2376,2376,Female,No,52,Yes,Artist,4.0,Low,1.0,Cat_6,B
2381,2381,Male,Yes,40,Yes,,3.0,Low,1.0,Cat_6,D
2395,2395,Male,Yes,86,No,Lawyer,2.0,Average,2.0,Cat_6,A
2396,2396,Male,Yes,71,Yes,Lawyer,2.0,Low,1.0,Cat_6,B
2406,2406,Female,No,55,No,Entertainment,3.0,Low,1.0,Cat_6,A
2407,2407,Female,No,50,No,Entertainment,8.0,Low,2.0,Cat_6,A
2413,2413,Male,No,36,Yes,Artist,8.0,Low,2.0,Cat_3,C
2416,2416,Female,No,32,No,Engineer,9.0,Low,4.0,Cat_5,A
2423,2423,Male,Yes,41,Yes,Entertainment,9.0,Average,2.0,Cat_6,B
2427,2427,Female,Yes,32,Yes,Healthcare,8.0,High,2.0,Cat_2,A
2428,2428,Female,Yes,60,Yes,Artist,2.0,Low,3.0,Cat_4,B
2430,2430,Female,Yes,35,No,Entertainment,4.0,Low,1.0,Cat_6,D
2431,2431,Male,No,33,Yes,Artist,7.0,Low,1.0,Cat_6,A
2435,2435,Male,Yes,39,Yes,Entertainment,6.0,Average,2.0,Cat_6,C
2440,2440,Female,No,42,Yes,Marketing,10.0,Low,3.0,Cat_6,D
2442,2442,Male,Yes,42,No,Artist,7.0,Average,5.0,Cat_6,B
2447,2447,Female,No,32,Yes,Artist,6.0,Low,7.0,Cat_4,A
2449,2449,Male,Yes,42,Yes,Artist,2.0,Average,2.0,Cat_6,C
2453,2453,Female,Yes,49,Yes,Artist,9.0,Low,2.0,Cat_6,B
2454,2454,Male,Yes,43,Yes,Artist,9.0,Average,2.0,Cat_2,C
2459,2459,Female,Yes,42,Yes,Artist,2.0,High,2.0,Cat_6,C
2460,2460,Male,No,46,No,Artist,3.0,Low,3.0,Cat_5,D
2463,2463,Male,No,33,Yes,Healthcare,3.0,Low,2.0,Cat_2,D
2464,2464,Male,Yes,47,,Artist,4.0,Low,1.0,Cat_6,B
2468,2468,Male,Yes,32,Yes,Healthcare,7.0,Low,2.0,Cat_6,D
2469,2469,Male,Yes,42,No,Entertainment,6.0,Low,3.0,Cat_6,B
2476,2476,Female,No,39,Yes,Artist,3.0,Low,2.0,Cat_6,C
2482,2482,Female,Yes,42,Yes,Entertainment,6.0,Low,2.0,Cat_6,B
2484,2484,Female,,73,Yes,Lawyer,4.0,High,,Cat_6,A
2496,2496,Female,Yes,72,Yes,Lawyer,8.0,High,2.0,Cat_6,A
2502,2502,Female,No,37,Yes,Artist,9.0,Low,1.0,Cat_2,A
2503,2503,Female,Yes,41,Yes,Engineer,9.0,Average,3.0,Cat_3,A
2505,2505,Female,Yes,60,Yes,Artist,2.0,Average,2.0,Cat_3,C
2507,2507,Male,Yes,35,Yes,Artist,5.0,Average,2.0,Cat_6,C
2508,2508,Male,No,40,Yes,Artist,3.0,Low,2.0,Cat_6,B
2510,2510,Male,Yes,80,Yes,Lawyer,2.0,Low,1.0,Cat_6,A
2511,2511,Female,Yes,43,Yes,Doctor,8.0,Low,1.0,Cat_6,B
2516,2516,Male,Yes,88,No,Artist,7.0,Low,1.0,Cat_6,D
2533,2533,Male,Yes,50,Yes,Artist,8.0,Average,2.0,Cat_6,B
2536,2536,Female,Yes,36,Yes,Homemaker,8.0,Average,5.0,Cat_6,B
2541,2541,Female,Yes,46,Yes,Doctor,9.0,High,3.0,Cat_2,A
2544,2544,Male,Yes,39,Yes,Healthcare,7.0,Average,5.0,Cat_3,A
2552,2552,Male,Yes,68,No,Lawyer,2.0,Low,3.0,Cat_4,A
2553,2553,Female,Yes,33,Yes,Entertainment,3.0,Average,3.0,Cat_4,D
2574,2574,Female,Yes,39,Yes,Artist,3.0,Average,2.0,Cat_6,C
2575,2575,Female,Yes,48,No,Executive,9.0,Average,3.0,Cat_2,B
2576,2576,Female,No,40,Yes,Homemaker,9.0,Low,2.0,Cat_6,A
2577,2577,Female,No,31,No,,8.0,Low,3.0,Cat_6,D
2581,2581,Male,Yes,43,No,Artist,8.0,Low,1.0,Cat_6,A
2584,2584,Female,Yes,60,Yes,Artist,2.0,Average,6.0,Cat_4,C
2592,2592,Female,,33,No,Healthcare,2.0,Low,3.0,Cat_2,C
2596,2596,Male,No,40,Yes,Artist,8.0,Low,1.0,Cat_6,B
2599,2599,Male,Yes,72,No,Entertainment,2.0,Average,2.0,Cat_6,C
2601,2601,Female,Yes,43,Yes,Artist,8.0,Average,2.0,Cat_6,B
2607,2607,Female,Yes,63,Yes,Marketing,2.0,Low,1.0,Cat_6,D
2608,2608,Female,Yes,37,Yes,Artist,4.0,Low,2.0,Cat_7,C
2611,2611,Female,Yes,48,Yes,Artist,10.0,Low,2.0,Cat_6,B
2612,2612,Female,Yes,52,No,Engineer,9.0,Average,5.0,Cat_4,B
2624,2624,Female,No,32,No,Marketing,11.0,Low,6.0,Cat_6,D
2625,2625,Female,Yes,36,No,Executive,9.0,Average,5.0,Cat_4,A
2626,2626,Male,Yes,61,Yes,Executive,9.0,High,4.0,Cat_6,D
2630,2630,Male,Yes,74,Yes,Lawyer,9.0,Low,1.0,Cat_6,C
2633,2633,Male,Yes,42,Yes,Entertainment,9.0,Low,2.0,Cat_6,A
2639,2639,Male,No,42,Yes,Artist,8.0,Low,,Cat_6,A
2644,2644,Male,No,31,Yes,Artist,5.0,Low,1.0,Cat_4,D
2645,2645,Male,No,41,Yes,Entertainment,8.0,Low,2.0,Cat_6,A
2650,2650,Male,Yes,65,Yes,Artist,5.0,High,2.0,Cat_6,A
2653,2653,Male,Yes,35,Yes,Homemaker,9.0,Average,4.0,Cat_6,A
2662,2662,Male,Yes,36,Yes,Doctor,8.0,Average,4.0,Cat_3,C
2663,2663,Female,No,49,Yes,Engineer,9.0,Low,1.0,Cat_6,A
2674,2674,Female,Yes,43,Yes,Artist,4.0,Average,2.0,Cat_6,A
2676,2676,Male,Yes,33,Yes,Doctor,10.0,Average,2.0,Cat_2,D
2678,2678,Male,Yes,79,No,Lawyer,9.0,Low,3.0,Cat_6,D
2681,2681,Female,Yes,45,No,Engineer,8.0,Low,,Cat_6,A
2683,2683,Female,Yes,79,No,Lawyer,2.0,High,2.0,Cat_6,A
2691,2691,Male,Yes,40,Yes,Healthcare,6.0,High,2.0,Cat_6,A
2693,2693,Male,Yes,46,No,Artist,4.0,High,4.0,Cat_6,C
2695,2695,Male,Yes,38,Yes,,9.0,Average,2.0,Cat_6,C
2699,2699,Male,Yes,65,Yes,Entertainment,2.0,Average,3.0,Cat_6,C
2701,2701,Female,Yes,39,Yes,Homemaker,9.0,Average,2.0,Cat_6,D
2703,2703,Male,No,41,Yes,Artist,4.0,Low,1.0,Cat_6,A
2705,2705,Female,No,36,Yes,Artist,9.0,Low,2.0,Cat_6,C
2707,2707,Female,Yes,53,Yes,Artist,4.0,Average,5.0,Cat_6,C
2709,2709,Female,No,41,No,Engineer,3.0,Low,3.0,Cat_3,B
2711,2711,Female,Yes,41,Yes,Artist,9.0,High,2.0,Cat_2,B
2712,2712,Male,No,46,Yes,Artist,2.0,Low,1.0,Cat_6,C
2716,2716,Female,Yes,56,Yes,Engineer,2.0,High,2.0,Cat_6,B
2719,2719,Male,Yes,56,Yes,Artist,4.0,Low,3.0,Cat_3,B
2731,2731,Male,Yes,89,Yes,Lawyer,13.0,Low,1.0,Cat_6,A
2741,2741,Female,Yes,39,Yes,Artist,2.0,High,2.0,Cat_5,C
2745,2745,Male,Yes,56,Yes,Executive,8.0,High,5.0,Cat_6,C
2750,2750,Male,Yes,41,Yes,Artist,8.0,Average,3.0,Cat_6,A
2765,2765,Female,Yes,40,Yes,Artist,8.0,Average,2.0,Cat_6,A
2766,2766,Male,No,36,Yes,Artist,9.0,Low,3.0,Cat_6,A
2767,2767,Female,Yes,70,No,Engineer,7.0,Low,1.0,Cat_3,B
2768,2768,Male,Yes,33,No,Healthcare,8.0,Average,3.0,Cat_6,C
2770,2770,Male,Yes,47,No,Entertainment,3.0,Average,2.0,Cat_6,A
2777,2777,Male,Yes,45,Yes,Entertainment,4.0,Average,2.0,Cat_6,C
2778,2778,Female,Yes,56,Yes,Artist,4.0,Average,2.0,Cat_3,C
2784,2784,Female,No,32,No,Homemaker,8.0,Low,1.0,Cat_6,D
2786,2786,Female,Yes,49,Yes,Entertainment,2.0,Average,3.0,Cat_6,A
2789,2789,Male,Yes,53,Yes,Artist,4.0,Average,2.0,Cat_6,C
2791,2791,Male,Yes,43,Yes,Artist,2.0,Average,2.0,Cat_6,C
2796,2796,Female,Yes,36,Yes,Artist,7.0,Average,2.0,Cat_6,C
2797,2797,Male,Yes,36,No,Executive,7.0,High,4.0,Cat_6,A
2801,2801,Male,Yes,45,Yes,Executive,5.0,High,3.0,Cat_7,B
2808,2808,Male,Yes,51,No,Executive,5.0,Low,3.0,Cat_2,C
2809,2809,Female,No,39,No,Engineer,6.0,Low,1.0,Cat_3,C
2812,2812,Female,Yes,45,Yes,Artist,3.0,Low,3.0,Cat_6,C
2819,2819,Male,Yes,42,No,Executive,5.0,High,4.0,Cat_6,C
2824,2824,Female,Yes,32,Yes,Doctor,4.0,Low,2.0,Cat_6,D
2825,2825,Male,Yes,69,No,Doctor,8.0,Low,2.0,Cat_6,A
2826,2826,Male,Yes,49,Yes,Homemaker,12.0,Low,1.0,Cat_3,A
2829,2829,Male,Yes,66,No,Artist,2.0,High,3.0,Cat_6,C
2833,2833,Female,No,32,Yes,Engineer,9.0,Low,4.0,Cat_6,A
2840,2840,Female,Yes,46,Yes,Executive,5.0,High,2.0,Cat_6,A
2841,2841,Male,No,31,No,Homemaker,14.0,Low,1.0,Cat_6,D
2844,2844,Male,Yes,81,No,Lawyer,8.0,Low,2.0,Cat_6,B
2845,2845,Female,Yes,86,No,Lawyer,8.0,High,2.0,Cat_6,B
2851,2851,Male,Yes,36,Yes,Homemaker,5.0,Low,1.0,Cat_6,D
2855,2855,Female,Yes,42,No,Homemaker,8.0,Average,4.0,Cat_3,C
2858,2858,Male,No,39,Yes,Entertainment,9.0,Low,2.0,Cat_6,A
2860,2860,Female,Yes,48,Yes,Artist,2.0,Low,2.0,Cat_6,C
2861,2861,Male,No,42,Yes,Healthcare,8.0,Low,3.0,Cat_6,D
2866,2866,Male,Yes,46,Yes,Entertainment,5.0,Low,3.0,Cat_6,A
2868,2868,Female,Yes,38,No,Entertainment,6.0,Average,5.0,Cat_2,B
2872,2872,Female,No,42,Yes,Artist,7.0,Low,3.0,Cat_6,C
2873,2873,Male,No,37,Yes,Healthcare,8.0,Low,3.0,Cat_6,D
2879,2879,Male,Yes,43,Yes,Entertainment,9.0,Average,2.0,Cat_6,C
